DATE,DEXSFUS
1/2/1980,0.8271
1/3/1980,0.8271
1/4/1980,0.8268
1/7/1980,0.8268
1/8/1980,0.8268
1/9/1980,0.8268
1/10/1980,0.8234
1/11/1980,0.8222
1/14/1980,0.8313
1/15/1980,0.8206
1/16/1980,0.8244
1/17/1980,0.8244
1/18/1980,0.8187
1/21/1980,0.8184
1/22/1980,0.8183
1/23/1980,0.8183
1/24/1980,0.8177
1/25/1980,0.8176
1/28/1980,0.8173
1/29/1980,0.8177
1/30/1980,0.8177
1/31/1980,0.8172
2/1/1980,0.8183
2/4/1980,0.8185
2/5/1980,0.8185
2/6/1980,0.8192
2/7/1980,0.8179
2/8/1980,0.8174
2/11/1980,0.8175
2/12/1980,.
2/13/1980,0.8149
2/14/1980,0.8145
2/15/1980,0.8143
2/18/1980,.
2/19/1980,0.812
2/20/1980,0.8123
2/21/1980,0.8108
2/22/1980,0.8104
2/25/1980,0.8097
2/26/1980,0.8091
2/27/1980,0.8091
2/28/1980,0.8078
2/29/1980,0.8079
3/3/1980,0.807
3/4/1980,0.8074
3/5/1980,0.8074
3/6/1980,0.8075
3/7/1980,0.8087
3/10/1980,0.8091
3/11/1980,0.8087
3/12/1980,0.8081
3/13/1980,0.808
3/14/1980,0.8104
3/17/1980,0.8106
3/18/1980,0.8106
3/19/1980,0.81
3/20/1980,0.8091
3/21/1980,0.8097
3/24/1980,0.8097
3/25/1980,0.8099
3/26/1980,0.8092
3/27/1980,0.81
3/28/1980,0.81
3/31/1980,0.8102
4/1/1980,0.8102
4/2/1980,0.81
4/3/1980,0.81
4/4/1980,0.8097
4/7/1980,0.8097
4/8/1980,0.8102
4/9/1980,0.8091
4/10/1980,0.8085
4/11/1980,0.8091
4/14/1980,0.8074
4/15/1980,0.8074
4/16/1980,0.8076
4/17/1980,0.8069
4/18/1980,0.8074
4/21/1980,0.807
4/22/1980,0.8065
4/23/1980,0.8058
4/24/1980,0.8042
4/25/1980,0.8039
4/28/1980,0.8074
4/29/1980,0.8006
4/30/1980,0.7999
5/1/1980,0.8001
5/2/1980,0.7997
5/5/1980,0.7997
5/6/1980,0.7968
5/7/1980,0.7937
5/8/1980,0.7928
5/9/1980,0.7932
5/12/1980,0.7932
5/13/1980,0.7916
5/14/1980,0.7911
5/15/1980,0.7906
5/16/1980,0.7904
5/19/1980,0.791
5/20/1980,0.7904
5/21/1980,0.7877
5/22/1980,0.7868
5/23/1980,0.7844
5/26/1980,.
5/27/1980,0.7837
5/28/1980,0.7874
5/29/1980,0.7828
5/30/1980,0.7835
6/2/1980,0.7806
6/3/1980,0.7803
6/4/1980,0.7797
6/5/1980,0.7797
6/6/1980,0.7791
6/9/1980,0.7764
6/10/1980,0.7758
6/11/1980,0.776
6/12/1980,0.7758
6/13/1980,0.7746
6/16/1980,0.7737
6/17/1980,0.7737
6/18/1980,0.7737
6/19/1980,0.7737
6/20/1980,0.7738
6/23/1980,0.7732
6/24/1980,0.7728
6/25/1980,0.7727
6/26/1980,0.7726
6/27/1980,0.7709
6/30/1980,0.7698
7/1/1980,0.7694
7/2/1980,0.7691
7/3/1980,0.7691
7/4/1980,.
7/7/1980,0.7683
7/8/1980,0.7661
7/9/1980,0.7655
7/10/1980,0.7648
7/11/1980,0.7648
7/14/1980,0.7648
7/15/1980,0.7656
7/16/1980,0.7654
7/17/1980,0.7637
7/18/1980,0.7641
7/21/1980,0.7634
7/22/1980,0.7631
7/23/1980,0.7628
7/24/1980,0.7622
7/25/1980,0.761
7/28/1980,0.7608
7/29/1980,0.7619
7/30/1980,0.7616
7/31/1980,0.7634
8/1/1980,0.7646
8/4/1980,0.763
8/5/1980,0.7613
8/6/1980,0.7608
8/7/1980,0.7606
8/8/1980,0.7609
8/11/1980,0.761
8/12/1980,0.7609
8/13/1980,0.7582
8/14/1980,0.7592
8/15/1980,0.759
8/18/1980,0.7605
8/19/1980,0.7603
8/20/1980,0.76
8/21/1980,0.7606
8/22/1980,0.7599
8/25/1980,0.7599
8/26/1980,0.7599
8/27/1980,0.7582
8/28/1980,0.7575
8/29/1980,0.7576
9/1/1980,.
9/2/1980,0.7542
9/3/1980,0.7544
9/4/1980,0.7536
9/5/1980,0.7534
9/8/1980,0.7539
9/9/1980,0.7536
9/10/1980,0.7546
9/11/1980,0.7534
9/12/1980,0.7519
9/15/1980,0.753
9/16/1980,0.7531
9/17/1980,0.7525
9/18/1980,0.7527
9/19/1980,0.7536
9/22/1980,0.753
9/23/1980,0.7531
9/24/1980,0.7535
9/25/1980,0.7533
9/26/1980,0.7529
9/29/1980,0.7536
9/30/1980,0.7538
10/1/1980,0.7592
10/2/1980,0.7528
10/3/1980,0.7536
10/6/1980,0.7513
10/7/1980,0.7512
10/8/1980,0.7512
10/9/1980,0.7512
10/10/1980,0.7505
10/13/1980,.
10/14/1980,0.7561
10/15/1980,0.751
10/16/1980,0.7508
10/17/1980,0.7509
10/20/1980,0.7506
10/21/1980,0.7492
10/22/1980,0.7491
10/23/1980,0.7491
10/24/1980,0.7488
10/27/1980,0.749
10/28/1980,0.7502
10/29/1980,0.7499
10/30/1980,0.7499
10/31/1980,0.7499
11/3/1980,0.7508
11/4/1980,.
11/5/1980,0.7505
11/6/1980,0.7503
11/7/1980,0.7527
11/10/1980,0.7525
11/11/1980,.
11/12/1980,0.7501
11/13/1980,0.749
11/14/1980,0.749
11/17/1980,0.7519
11/18/1980,0.7516
11/19/1980,0.7499
11/20/1980,0.7493
11/21/1980,0.7504
11/24/1980,0.7525
11/25/1980,0.751
11/26/1980,0.7506
11/27/1980,.
11/28/1980,0.751
12/1/1980,0.7533
12/2/1980,0.753
12/3/1980,0.7525
12/4/1980,0.7523
12/5/1980,0.7542
12/8/1980,0.7542
12/9/1980,0.7543
12/10/1980,0.7547
12/11/1980,0.7584
12/12/1980,0.7582
12/15/1980,0.7556
12/16/1980,0.7567
12/17/1980,0.7577
12/18/1980,0.7553
12/19/1980,0.756
12/22/1980,0.7513
12/23/1980,0.7488
12/24/1980,0.7479
12/25/1980,.
12/26/1980,0.7479
12/29/1980,0.7485
12/30/1980,0.7468
12/31/1980,0.7457
1/1/1981,.
1/2/1981,0.7457
1/5/1981,0.7437
1/6/1981,0.741
1/7/1981,0.7371
1/8/1981,0.7386
1/9/1981,0.7398
1/12/1981,0.7471
1/13/1981,0.7502
1/14/1981,0.7477
1/15/1981,0.7485
1/16/1981,0.7502
1/19/1981,0.749
1/20/1981,0.7484
1/21/1981,0.7472
1/22/1981,0.7496
1/23/1981,0.7502
1/26/1981,0.7509
1/27/1981,0.7527
1/28/1981,0.7553
1/29/1981,0.7565
1/30/1981,0.7602
2/2/1981,0.7637
2/3/1981,0.7688
2/4/1981,0.7625
2/5/1981,0.7648
2/6/1981,0.7692
2/9/1981,0.7668
2/10/1981,0.7666
2/11/1981,0.7672
2/12/1981,.
2/13/1981,0.777
2/16/1981,.
2/17/1981,0.7828
2/18/1981,0.7819
2/19/1981,0.7785
2/20/1981,0.7734
2/23/1981,0.7758
2/24/1981,0.7825
2/25/1981,0.78
2/26/1981,0.781
2/27/1981,0.7837
3/2/1981,0.7902
3/3/1981,0.7856
3/4/1981,0.7852
3/5/1981,0.7865
3/6/1981,0.7915
3/9/1981,0.7849
3/10/1981,0.7849
3/11/1981,0.7893
3/12/1981,0.7896
3/13/1981,0.7911
3/16/1981,0.7893
3/17/1981,0.7874
3/18/1981,0.7862
3/19/1981,0.7849
3/20/1981,0.7883
3/23/1981,0.7933
3/24/1981,0.7921
3/25/1981,0.794
3/26/1981,0.7962
3/27/1981,0.8013
3/30/1981,0.8015
3/31/1981,0.7994
4/1/1981,0.7996
4/2/1981,0.8026
4/3/1981,0.794
4/6/1981,0.814
4/7/1981,0.8078
4/8/1981,0.8058
4/9/1981,0.8074
4/10/1981,0.8084
4/13/1981,0.8117
4/14/1981,0.81
4/15/1981,0.8124
4/16/1981,0.8163
4/17/1981,0.8163
4/20/1981,0.8163
4/21/1981,0.8157
4/22/1981,0.8127
4/23/1981,0.813
4/24/1981,0.813
4/27/1981,0.8132
4/28/1981,0.8137
4/29/1981,0.817
4/30/1981,0.8197
5/1/1981,0.8203
5/4/1981,0.825
5/5/1981,0.8297
