DATE,FGEXPND
1/1/1947,40.902
4/1/1947,40.346
7/1/1947,42.007
10/1/1947,38.149
1/1/1948,38.915
4/1/1948,39.904
7/1/1948,42.739
10/1/1948,44.051
1/1/1949,45.908
4/1/1949,47.016
7/1/1949,46.824
10/1/1949,45.583
1/1/1950,52.902
4/1/1950,46.098
7/1/1950,42.215
10/1/1950,46.464
1/1/1951,51.8
4/1/1951,56.56
7/1/1951,61.393
10/1/1951,63.905
1/1/1952,63.546
4/1/1952,67.23
7/1/1952,70.056
10/1/1952,70.885
1/1/1953,71.596
4/1/1953,73.781
7/1/1953,72.127
10/1/1953,73.561
1/1/1954,71.375
4/1/1954,70.056
7/1/1954,69.904
10/1/1954,70.683
1/1/1955,71.276
4/1/1955,70.836
7/1/1955,72.676
10/1/1955,71.777
1/1/1956,71.909
4/1/1956,74.834
7/1/1956,74.181
10/1/1956,76.822
1/1/1957,80.058
4/1/1957,81.446
7/1/1957,81.451
10/1/1957,84.813
1/1/1958,83.792
4/1/1958,88.476
7/1/1958,89.193
10/1/1958,90.999
1/1/1959,89.118
4/1/1959,90.132
7/1/1959,90.742
10/1/1959,92.047
1/1/1960,90.543
4/1/1960,92.628
7/1/1960,93.723
10/1/1960,96.698
1/1/1961,96.51
4/1/1961,100.155
7/1/1961,100.502
10/1/1961,102.076
1/1/1962,105.952
4/1/1962,107.795
7/1/1962,109.32
10/1/1962,111.161
1/1/1963,112.116
4/1/1963,112.048
7/1/1963,113.773
10/1/1963,116.055
1/1/1964,117.829
4/1/1964,118.785
7/1/1964,118.123
10/1/1964,118.105
1/1/1965,119.954
4/1/1965,122.907
7/1/1965,128.665
10/1/1965,132.243
1/1/1966,136.056
4/1/1966,142.395
7/1/1966,146.957
10/1/1966,152.091
1/1/1967,161.919
4/1/1967,164.163
7/1/1967,166.058
10/1/1967,170.992
1/1/1968,177.285
4/1/1968,183.665
7/1/1968,186.229
10/1/1968,190.202
1/1/1969,188.097
4/1/1969,194.972
7/1/1969,199.772
10/1/1969,205.097
1/1/1970,208.693
4/1/1970,220.11
7/1/1970,223.37
10/1/1970,227.603
1/1/1971,233.12
4/1/1971,242.896
7/1/1971,242.609
10/1/1971,247.782
1/1/1972,258.846
4/1/1972,267.56
7/1/1972,260.264
10/1/1972,285.409
1/1/1973,283.042
4/1/1973,287.36
7/1/1973,286.911
10/1/1973,292.909
1/1/1974,302.072
4/1/1974,314.483
7/1/1974,324.454
10/1/1974,338.388
1/1/1975,354.024
4/1/1975,377.665
7/1/1975,379.106
10/1/1975,388.241
1/1/1976,393.991
4/1/1976,395.709
7/1/1976,407.495
10/1/1976,416.741
1/1/1977,420.834
4/1/1977,428.835
7/1/1977,442.98
10/1/1977,456.618
1/1/1978,468.33
4/1/1978,478.557
7/1/1978,492.031
10/1/1978,504.542
1/1/1979,511.805
4/1/1979,522.934
7/1/1979,543.29
10/1/1979,559.516
1/1/1980,583.861
4/1/1980,608.694
7/1/1980,639.968
10/1/1980,657.298
1/1/1981,680.243
4/1/1981,695.699
7/1/1981,722.114
10/1/1981,738.484
1/1/1982,753.575
4/1/1982,767.553
7/1/1982,794.534
10/1/1982,828.404
1/1/1983,831.494
4/1/1983,852.517
7/1/1983,864.3
10/1/1983,859.457
1/1/1984,874.942
4/1/1984,897.828
7/1/1984,914.311
10/1/1984,943.661
1/1/1985,952.096
4/1/1985,966.688
