DATE,INTGSTZAM193N
1/1/1957,3.25
2/1/1957,3.25
3/1/1957,3.25
4/1/1957,3.25
5/1/1957,3.25
6/1/1957,3.25
7/1/1957,3.25
8/1/1957,3.25
9/1/1957,3.25
10/1/1957,3.25
11/1/1957,3.25
12/1/1957,3.25
1/1/1958,3.25
2/1/1958,3.5
3/1/1958,3.5
4/1/1958,3.5
5/1/1958,3.5
6/1/1958,3.699999999
7/1/1958,3.709999999
8/1/1958,3.739999999
9/1/1958,3.729999999
10/1/1958,3.699999999
11/1/1958,3.69
12/1/1958,3.679999999
1/1/1959,3.58
2/1/1959,3.52
3/1/1959,3.529999999
4/1/1959,3.55
5/1/1959,3.52
6/1/1959,3.489999999
7/1/1959,3.459999999
8/1/1959,3.459999999
9/1/1959,3.44
10/1/1959,3.349999999
11/1/1959,3.279999999
12/1/1959,3.279999999
1/1/1960,3.369999999
2/1/1960,3.479999999
3/1/1960,3.459999999
4/1/1960,3.5
5/1/1960,3.529999999
6/1/1960,3.569999999
7/1/1960,3.69
8/1/1960,3.779999999
9/1/1960,3.66
10/1/1960,3.559999999
11/1/1960,3.729999999
12/1/1960,3.839999999
1/1/1961,3.989999999
2/1/1961,4.119999999
3/1/1961,4.08
4/1/1961,4.11
5/1/1961,4.619999999
6/1/1961,4.699999999
7/1/1961,4.619999999
8/1/1961,4.3
9/1/1961,4.239999999
10/1/1961,4.089999999
11/1/1961,4.069999999
12/1/1961,4.05
1/1/1962,3.929999999
2/1/1962,3.779999999
3/1/1962,3.66
4/1/1962,3.309999999
5/1/1962,2.849999999
6/1/1962,2.77
7/1/1962,2.55
8/1/1962,2.319999999
9/1/1962,2.209999999
10/1/1962,2.16
11/1/1962,1.959999999
12/1/1962,1.819999999
1/1/1963,1.899999999
2/1/1963,1.99
3/1/1963,1.99
4/1/1963,2.029999999
5/1/1963,2.08
6/1/1963,2.16
7/1/1963,2.209999999
8/1/1963,2.149999999
9/1/1963,1.94
10/1/1963,1.77
11/1/1963,1.72
12/1/1963,1.919999999
1/1/1964,2.139999999
2/1/1964,2.449999999
3/1/1964,2.599999999
4/1/1964,2.61
5/1/1964,2.61
6/1/1964,2.759999999
7/1/1964,3.099999999
8/1/1964,3.16
9/1/1964,3.119999999
10/1/1964,3.279999999
11/1/1964,3.419999999
12/1/1964,3.569999999
1/1/1965,3.669999999
2/1/1965,3.769999999
3/1/1965,4
4/1/1965,3.979999999
5/1/1965,3.94
6/1/1965,4
7/1/1965,4.099999999
8/1/1965,4.25
9/1/1965,4.259999999
10/1/1965,4.19
11/1/1965,4.139999999
12/1/1965,4.229999999
1/1/1966,4.369999999
2/1/1966,4.379999999
3/1/1966,4.339999999
4/1/1966,4.259999999
5/1/1966,4.099999999
6/1/1966,3.929999999
7/1/1966,3.919999999
8/1/1966,4.11
9/1/1966,4.169999999
10/1/1966,4.209999999
11/1/1966,4.199999999
12/1/1966,4.459999999
1/1/1967,4.669999999
2/1/1967,4.849999999
3/1/1967,4.929999999
4/1/1967,4.849999999
5/1/1967,4.769999999
6/1/1967,4.929999999
7/1/1967,4.959999999
8/1/1967,4.849999999
9/1/1967,4.739999999
10/1/1967,4.849999999
11/1/1967,4.97
12/1/1967,5
1/1/1968,5.009999999
2/1/1968,5.029999999
3/1/1968,5.08
4/1/1968,5.029999999
5/1/1968,5.029999999
6/1/1968,4.949999999
7/1/1968,4.949999999
8/1/1968,4.879999999
9/1/1968,4.679999999
10/1/1968,4.659999999
11/1/1968,4.759999999
12/1/1968,4.699999999
1/1/1969,4.679999999
2/1/1969,4.679999999
3/1/1969,4.679999999
4/1/1969,4.659999999
5/1/1969,4.679999999
6/1/1969,4.69
7/1/1969,4.709999999
8/1/1969,4.699999999
9/1/1969,4.619999999
10/1/1969,4.529999999
11/1/1969,4.379999999
12/1/1969,4.36
1/1/1970,4.419999999
2/1/1970,4.419999999
