DATE,MYAGM2ZAM189N
3/1/1965,2886850000
4/1/1965,2949080000
5/1/1965,2954000000
6/1/1965,2975480000
7/1/1965,3018010000
8/1/1965,3024100000
9/1/1965,3082400000
10/1/1965,3150090000
11/1/1965,3184520000
12/1/1965,3267480000
1/1/1966,3201030000
2/1/1966,3208040000
3/1/1966,3166780000
4/1/1966,3210910000
5/1/1966,3243910000
6/1/1966,3322330000
7/1/1966,3381850000
8/1/1966,3354130000
9/1/1966,3396730000
10/1/1966,3404260000
11/1/1966,3405010000
12/1/1966,3469680000
1/1/1967,3406060000
2/1/1967,3374500000
3/1/1967,3422570000
4/1/1967,3416380000
5/1/1967,3413760000
6/1/1967,3524250000
7/1/1967,3481010000
8/1/1967,3506560000
9/1/1967,3533150000
10/1/1967,3585110000
11/1/1967,3635640000
12/1/1967,3700200000
1/1/1968,3666750000
2/1/1968,3632920000
3/1/1968,3689990000
4/1/1968,3728200000
5/1/1968,3741380000
6/1/1968,3816120000
7/1/1968,3814780000
8/1/1968,3902920000
9/1/1968,4010700000
10/1/1968,4077440000
11/1/1968,4332520000
12/1/1968,4310560000
1/1/1969,4247950000
2/1/1969,4291450000
3/1/1969,4266660000
4/1/1969,4261060000
5/1/1969,4292850000
6/1/1969,4337290000
7/1/1969,4310980000
8/1/1969,4372580000
9/1/1969,4525290000
10/1/1969,4563880000
11/1/1969,4545090000
12/1/1969,4687750000
1/1/1970,4594350000
2/1/1970,4618950000
3/1/1970,4814040000
4/1/1970,4881020000
5/1/1970,4891460000
6/1/1970,5065060000
7/1/1970,5039560000
8/1/1970,5007040000
9/1/1970,5088820000
10/1/1970,5107980000
11/1/1970,5104990000
12/1/1970,5206110000
1/1/1971,5045620000
2/1/1971,5060860000
3/1/1971,5120120000
4/1/1971,5150640000
5/1/1971,5188070000
6/1/1971,5282680000
7/1/1971,5235600000
8/1/1971,5267290000
9/1/1971,5366830000
10/1/1971,5406660000
11/1/1971,5424350000
12/1/1971,5528230000
1/1/1972,5368140000
2/1/1972,5447430000
3/1/1972,5459420000
4/1/1972,5496310000
5/1/1972,5524360000
6/1/1972,5704600000
7/1/1972,5770790000
8/1/1972,5795840000
9/1/1972,5956770000
10/1/1972,5972610000
11/1/1972,6089630000
12/1/1972,6275700000
1/1/1973,6112600000
2/1/1973,6247190000
3/1/1973,6449000000
4/1/1973,6675540000
5/1/1973,6797070000
6/1/1973,6921570000
7/1/1973,7034090000
8/1/1973,7002250000
9/1/1973,7280800000
10/1/1973,7195560000
