DATE,MABMM301ZAM189S
1965-03-01,4796183100.0
1965-04-01,4861148700.0
1965-05-01,4862664700.0
1965-06-01,4813954200.0
1965-07-01,4849491500.0
1965-08-01,4840140300.0
1965-09-01,4832110700.0
1965-10-01,4875898600.0
1965-11-01,4886004000.0
1965-12-01,4944365600.0
1966-01-01,4939961400.0
1966-02-01,4976848900.0
1966-03-01,4963697900.0
1966-04-01,5046018500.0
1966-05-01,5116438600.0
1966-06-01,5191977900.0
1966-07-01,5276531000.0
1966-08-01,5269652600.0
1966-09-01,5339014700.0
1966-10-01,5355484800.0
1966-11-01,5351980200.0
1966-12-01,5399274500.0
1967-01-01,5437993700.0
1967-02-01,5435025300.0
1967-03-01,5480196700.0
1967-04-01,5503270900.0
1967-05-01,5516741100.0
1967-06-01,5588350300.0
1967-07-01,5589816000.0
1967-08-01,5627524200.0
1967-09-01,5607026300.0
1967-10-01,5641641500.0
1967-11-01,5718616700.0
1967-12-01,5794837200.0
1968-01-01,5849010300.0
1968-02-01,5872249300.0
1968-03-01,5908446100.0
1968-04-01,5990261900.0
1968-05-01,6062545300.0
1968-06-01,6134453000.0
1968-07-01,6204546900.0
1968-08-01,6282955100.0
1968-09-01,6336861400.0
1968-10-01,6411564800.0
1968-11-01,6613732800.0
1968-12-01,6537833000.0
1969-01-01,6590740900.0
1969-02-01,6703954800.0
1969-03-01,6769950600.0
1969-04-01,6791176100.0
1969-05-01,6853109800.0
1969-06-01,6791367600.0
1969-07-01,6786818500.0
1969-08-01,6865912900.0
1969-09-01,7020537400.0
1969-10-01,7127499000.0
1969-11-01,7202601300.0
1969-12-01,7299992000.0
1970-01-01,7235540200.0
1970-02-01,7235229700.0
1970-03-01,7372097600.0
1970-04-01,7426303200.0
1970-05-01,7472927700.0
1970-06-01,7564331400.0
1970-07-01,7603010000.0
1970-08-01,7623454100.0
1970-09-01,7700846600.0
1970-10-01,7769194500.0
1970-11-01,7787523500.0
1970-12-01,7853650400.0
1971-01-01,7956293900.0
1971-02-01,7985574500.0
1971-03-01,8061494900.0
1971-04-01,8131905000.0
1971-05-01,8212995599.999999
1971-06-01,8203781899.999999
1971-07-01,8213733599.999999
1971-08-01,8338934399.999999
1971-09-01,8346747600.000001
1971-10-01,8410278500.0
1971-11-01,8467244600.000001
1971-12-01,8542863600.0
1972-01-01,8597564700.0
1972-02-01,8718945800.0
1972-03-01,8760076900.0
1972-04-01,8817147900.0
1972-05-01,8876390200.0
1972-06-01,9056153400.0
1972-07-01,9216675100.0
1972-08-01,9410853900.0
1972-09-01,9535676200.0
1972-10-01,9608736900.0
1972-11-01,9792686100.0
1972-12-01,10005465000.0
1973-01-01,10019897500.0
1973-02-01,10168370700.0
1973-03-01,10409504700.0
1973-04-01,10670410300.0
1973-05-01,10944593000.0
1973-06-01,11135302300.0
1973-07-01,11345547500.0
1973-08-01,11519820100.0
1973-09-01,11746818900.0
1973-10-01,11832056500.0
1973-11-01,11922307800.0
1973-12-01,12042519700.0
1974-01-01,12177627700.0
1974-02-01,12404054800.0
1974-03-01,12615920500.0
1974-04-01,12775099700.0
1974-05-01,12985680600.0
1974-06-01,13176067300.0
1974-07-01,13242879100.0
1974-08-01,13320662700.0
1974-09-01,13380472100.0
1974-10-01,13712811200.0
1974-11-01,13968645100.0
1974-12-01,14162321900.0
1975-01-01,14558053000.0
1975-02-01,14676639700.0
1975-03-01,15007667300.0
1975-04-01,15108635000.0
1975-05-01,15218989800.0
1975-06-01,15500456700.0
1975-07-01,15821803200.0
1975-08-01,16091311500.0
1975-09-01,16241653400.0
1975-10-01,16467922000.000002
1975-11-01,16814969600.000002
1975-12-01,17010866400.000002
1976-01-01,17120104900.000002
1976-02-01,17249416400.0
1976-03-01,17332212200.0
1976-04-01,17521184100.0
1976-05-01,17584467500.0
1976-06-01,17859583800.0
1976-07-01,17905411000.0
1976-08-01,18061471700.0
1976-09-01,18248557700.0
