DATE,XTNTVA01ZAM664S
1/1/1957,-12924310
2/1/1957,-17258810
3/1/1957,-11865710
4/1/1957,-24045120
5/1/1957,-15366720
6/1/1957,-29422590
7/1/1957,-22948640
8/1/1957,-26018250
9/1/1957,-29048030
10/1/1957,-25146710
11/1/1957,-24844000
12/1/1957,-21343820
1/1/1958,-41315260
2/1/1958,-42177820
3/1/1958,-38886230
4/1/1958,-36355040
5/1/1958,-41449980
6/1/1958,-34437650
7/1/1958,-28164390
8/1/1958,-35185040
9/1/1958,-23173520
10/1/1958,-19091860
11/1/1958,-32675350
12/1/1958,-21530200
1/1/1959,-19665720
2/1/1959,-10186060
3/1/1959,-21507370
4/1/1959,-21644910
5/1/1959,-18159260
6/1/1959,-9455367
7/1/1959,-13033130
8/1/1959,-12131500
9/1/1959,-7784099
10/1/1959,-12678740
11/1/1959,-5259885
12/1/1959,-22131630
1/1/1960,-17610740
2/1/1960,-25588670
3/1/1960,-15904960
4/1/1960,-30254780
5/1/1960,-22353310
6/1/1960,-24536930
7/1/1960,-26562940
8/1/1960,-36457320
9/1/1960,-17568220
10/1/1960,-22113480
11/1/1960,-25366700
12/1/1960,-35653470
1/1/1961,-19589990
2/1/1961,-16117220
3/1/1961,-23711410
4/1/1961,-20042180
5/1/1961,-16533060
6/1/1961,-4708144
7/1/1961,-7669423
8/1/1961,-2899649
9/1/1961,585478.3
10/1/1961,5461726
11/1/1961,-11470640
12/1/1961,11470160
1/1/1962,-7676331
2/1/1962,-11013110
3/1/1962,-7933494
4/1/1962,5025039
5/1/1962,-2424887
6/1/1962,-4938179
7/1/1962,-17199340
8/1/1962,-12943760
9/1/1962,-9271680
10/1/1962,-13634670
11/1/1962,-16459630
12/1/1962,-21525170
1/1/1963,-20638180
2/1/1963,-8308881
3/1/1963,-26148300
4/1/1963,-20704860
5/1/1963,-19253870
6/1/1963,-30164390
7/1/1963,-25670070
8/1/1963,-21882990
9/1/1963,-24269060
10/1/1963,-40582240
11/1/1963,-29946370
12/1/1963,-27143360
1/1/1964,-36569730
2/1/1964,-49417610
3/1/1964,-33852400
4/1/1964,-36290790
5/1/1964,-37332160
6/1/1964,-42171770
7/1/1964,-54211860
8/1/1964,-61036100
9/1/1964,-60486060
10/1/1964,-54420710
11/1/1964,-52137010
12/1/1964,-80671470
1/1/1965,-70239420
2/1/1965,-61665630
3/1/1965,-68638490
4/1/1965,-77121310
5/1/1965,-90471440
6/1/1965,-83932840
7/1/1965,-86411850
8/1/1965,-63948180
9/1/1965,-75237880
10/1/1965,-51084060
11/1/1965,-52929570
12/1/1965,-50676760
1/1/1966,-55309120
2/1/1966,-50898450
3/1/1966,-39093290
4/1/1966,-48285490
5/1/1966,-32864820
6/1/1966,-17832080
7/1/1966,-50342900
8/1/1966,-42158360
9/1/1966,-61516870
10/1/1966,-62121470
11/1/1966,-51216330
12/1/1966,-57215120
1/1/1967,-88570130
2/1/1967,-75179230
3/1/1967,-61090850
4/1/1967,-75942880
5/1/1967,-57846530
6/1/1967,-66940720
7/1/1967,-59140240
8/1/1967,-60675320
9/1/1967,-40660930
10/1/1967,-29711780
11/1/1967,-15856270
12/1/1967,-43194520
1/1/1968,-37449550
2/1/1968,-34231830
3/1/1968,-36423550
4/1/1968,-34417200
5/1/1968,-34177790
6/1/1968,-50411710
7/1/1968,-22093280
8/1/1968,-38040840
9/1/1968,-47116560
10/1/1968,-52020270
11/1/1968,-54555980
12/1/1968,-58995910
1/1/1969,-38391270
2/1/1969,-23050530
3/1/1969,-50527220
4/1/1969,-59364710
5/1/1969,-68621720
6/1/1969,-48512750
7/1/1969,-79943250
8/1/1969,-56845100
9/1/1969,-82681690
10/1/1969,-79336980
11/1/1969,-71048080
12/1/1969,-67288730
1/1/1970,-4545565
2/1/1970,-2883624
3/1/1970,-13585300
4/1/1970,-8898045
5/1/1970,-29561750
6/1/1970,-27330880
7/1/1970,-13111180
8/1/1970,-31028600
9/1/1970,-34511270
10/1/1970,-39349690
11/1/1970,-48064990
12/1/1970,-77042160
1/1/1971,-78102850
2/1/1971,-68580400
3/1/1971,-82967560
4/1/1971,-43050490
5/1/1971,-35768640
6/1/1971,-74700920
7/1/1971,-40897280
8/1/1971,-34617640
9/1/1971,-28397410
10/1/1971,-25586570
11/1/1971,-56662730
12/1/1971,-16145310
1/1/1972,-33984150
2/1/1972,-18579960
3/1/1972,-13662980
4/1/1972,6777184
5/1/1972,7502192
6/1/1972,28180470
7/1/1972,30298730
8/1/1972,34577610
9/1/1972,52211990
10/1/1972,334717.5
11/1/1972,8413028
12/1/1972,27624670
1/1/1973,31231770
2/1/1973,8007102
3/1/1973,35766320
4/1/1973,74960540
5/1/1973,52609350
6/1/1973,82601290
7/1/1973,87681320
8/1/1973,52263050
9/1/1973,42504580
10/1/1973,38254200
11/1/1973,-13214690
12/1/1973,23173790
1/1/1974,49064780
2/1/1974,96619730
3/1/1974,76629660
4/1/1974,83727490
5/1/1974,29154510
6/1/1974,1646827
7/1/1974,60691470
8/1/1974,57600310
9/1/1974,19988550
10/1/1974,54644570
11/1/1974,135753300
12/1/1974,-17211390
1/1/1975,123415700
2/1/1975,47752790
3/1/1975,27721780
4/1/1975,35533930
5/1/1975,25070770
6/1/1975,24159240
7/1/1975,20966160
8/1/1975,39991510
9/1/1975,30702550
10/1/1975,47595640
11/1/1975,40137630
12/1/1975,39827210
1/1/1976,-27463480
2/1/1976,-60667440
3/1/1976,6528524
4/1/1976,18072400
5/1/1976,25196710
6/1/1976,51981930
7/1/1976,-134908000
8/1/1976,226799800
9/1/1976,145847100
10/1/1976,52936320
11/1/1976,55226310
12/1/1976,143407700
1/1/1977,145216400
2/1/1977,79746120
3/1/1977,187043900
4/1/1977,290576200
5/1/1977,339799800
6/1/1977,230424200
7/1/1977,296665600
8/1/1977,206874900
9/1/1977,223026700
10/1/1977,328782400
11/1/1977,408736800
12/1/1977,378694100
1/1/1978,353660000
2/1/1978,264950100
3/1/1978,256853600
4/1/1978,297392100
5/1/1978,373457000
6/1/1978,312548400
7/1/1978,451807000
8/1/1978,395091100
9/1/1978,391103200
10/1/1978,389652500
11/1/1978,497125400
12/1/1978,452118500
1/1/1979,453588000
2/1/1979,601372400
3/1/1979,573274900
4/1/1979,550115400
5/1/1979,626735900
6/1/1979,509384000
7/1/1979,801406000
8/1/1979,636802900
9/1/1979,732138500
10/1/1979,633062800
11/1/1979,730531100
12/1/1979,1135049000
1/1/1980,752292100
2/1/1980,760974500
3/1/1980,658164700
4/1/1980,351676000
5/1/1980,27375340
6/1/1980,386792500
7/1/1980,374510200
8/1/1980,413058900
9/1/1980,277738200
10/1/1980,224022000
11/1/1980,170457200
12/1/1980,85947660
1/1/1981,408789000
2/1/1981,-92340170
3/1/1981,49151130
4/1/1981,-156273000
5/1/1981,-401833300
6/1/1981,-69214860
7/1/1981,-277670200
8/1/1981,-284739100
9/1/1981,-90829720
10/1/1981,-80606090
11/1/1981,-400331800
12/1/1981,-124314200
1/1/1982,-252191100
2/1/1982,-180614600
3/1/1982,-482649400
4/1/1982,-95181880
5/1/1982,-470957100
6/1/1982,-168284500
7/1/1982,59550220
8/1/1982,-5244457
9/1/1982,484397900
10/1/1982,150952600
11/1/1982,344304400
12/1/1982,155555600
1/1/1983,354704200
2/1/1983,563818700
3/1/1983,512994700
4/1/1983,587154000
5/1/1983,459826400
6/1/1983,180904100
7/1/1983,526429200
8/1/1983,155739200
9/1/1983,257750300
10/1/1983,-82257930
11/1/1983,282700400
12/1/1983,-493741100
1/1/1984,213808100
2/1/1984,-155890900
3/1/1984,87329160
4/1/1984,8586941
5/1/1984,221862600
6/1/1984,185105500
7/1/1984,250440600
8/1/1984,-88310120
9/1/1984,238530500
10/1/1984,527872100
11/1/1984,434339400
12/1/1984,172168600
1/1/1985,451965200
2/1/1985,852656700
3/1/1985,1028984000
4/1/1985,622018200
5/1/1985,913202100
6/1/1985,935868700
7/1/1985,758339200
8/1/1985,1323046000
9/1/1985,640635200
10/1/1985,1744177000
11/1/1985,1308295000
12/1/1985,1478477000
