DATE,LRUNTTTTZAQ156S
7/1/2000,23.27404
10/1/2000,23.94847
1/1/2001,24.6229
4/1/2001,25.390175
7/1/2001,26.15745
10/1/2001,26.94569
1/1/2002,27.73393
4/1/2002,27.1755
7/1/2002,26.61707
10/1/2002,27.97415
1/1/2003,29.33123
4/1/2003,27.072885
7/1/2003,24.81454
10/1/2003,25.58467
1/1/2004,26.3548
4/1/2004,24.66635
7/1/2004,22.9779
10/1/2004,23.59418
1/1/2005,24.21046
4/1/2005,23.84801
7/1/2005,23.48556
10/1/2005,23.31005
1/1/2006,23.13454
4/1/2006,22.618245
7/1/2006,22.10195
10/1/2006,22.857325
1/1/2007,23.6127
4/1/2007,22.32167
7/1/2007,21.03064
10/1/2007,21.963615
1/1/2008,22.89659
4/1/2008,22.57979
7/1/2008,22.84863
10/1/2008,21.87422
1/1/2009,22.72255
4/1/2009,23.14682
7/1/2009,24.4179
10/1/2009,24.45164
1/1/2010,24.80645
4/1/2010,24.97654
7/1/2010,25.38148
10/1/2010,24.31809
1/1/2011,24.65889
4/1/2011,25.44185
7/1/2011,24.89571
10/1/2011,24.14782
1/1/2012,24.85264
4/1/2012,24.71386
7/1/2012,25.07787
10/1/2012,24.83257
1/1/2013,24.82808
4/1/2013,25.22091
7/1/2013,24.41469
10/1/2013,24.49672
1/1/2014,24.94441
4/1/2014,25.41956
7/1/2014,25.33092
10/1/2014,24.62282
1/1/2015,26.09158
4/1/2015,25.06751
7/1/2015,25.41707
10/1/2015,24.81273
1/1/2016,26.49687
4/1/2016,26.6892
7/1/2016,26.93433
10/1/2016,26.73652
1/1/2017,27.46926
4/1/2017,27.88477
7/1/2017,27.57137
10/1/2017,26.90548
1/1/2018,26.55281
4/1/2018,27.43628
7/1/2018,27.29115
10/1/2018,27.22729
1/1/2019,27.39988
4/1/2019,29.44895
7/1/2019,28.96136
10/1/2019,28.92489
1/1/2020,29.82364
4/1/2020,24.06843
7/1/2020,30.72779
10/1/2020,32.29847
1/1/2021,32.1965
4/1/2021,34.84626
7/1/2021,34.74398
10/1/2021,35.24758
1/1/2022,34.21466
4/1/2022,34.29591
7/1/2022,32.81425
10/1/2022,32.73571
1/1/2023,32.59156
4/1/2023,32.91426
7/1/2023,31.88106
10/1/2023,32.11939
